huuid,depart ,arrivée,type_itinéraire,difficulte,type_sol,longueur,largeur,altitude_min,altitude_max,etat_itineraire
04081a8c-af21-47d2-ad30-65fd7180287a,"6.434636915111764,45.17586913680148","6.434426146592219,45.175774699363885",Route,,Goudron,19.78,4,,,Bon
7ac5fbdf-f958-4176-af90-ae8107479a32,"6.43505543613136,45.17613375668876","6.434636915111764,45.17586913680148",Route,,Goudron,44.23,4,,,Bon
cf79793b-6845-441c-95a1-e9bc5a87cb2f,"6.435132553015276,45.17618724111423","6.43505543613136,45.17613375668876",Route,,Goudron,8.49,4,,,Bon
5fcc1087-7bff-4edf-8cd5-ea5fbd94b765,"6.420465319715789,45.1699063534823","6.42039888159186,45.168938406393856",Route,,Goudron,109.19,3,,,Bon
2edeae96-0b8d-4e6f-951b-8fc2440a70ad,"6.42039888159186,45.168938406393856","6.420266665333571,45.168857767087516",Route,,Goudron,13.81,3,,,Bon
a249f465-d671-4592-bce3-74561e6e7bc0,"6.416784770005208,45.162882405434964","6.418914284425843,45.162521414806484",Sentier,,Cailloux + terre,176.85,"1,2 m",,,Bon
65efc54b-f121-4b96-bbea-60a4ea495c03,"6.433005004274007,45.17161754446916","6.429929612436915,45.171044861178956",Sentier,,Terre,487.67,"0,8 m",,,Bon
75275d5c-24de-47b5-bd01-c3e46c719592,"6.426894045664429,45.17324025004833","6.428772244031791,45.171943829690825",Sentier,,Cailloux + terre,239.24,"0,8 m",,,Bon
12a4562f-2dfa-4016-a4c6-0f7d3c382e93,"6.421301797834341,45.17022045733369","6.426426094778146,45.17324097419542",Sentier,,Herbe + terre,1042.02,"0,8 m",,,Bon
eee87cfb-e60b-4c32-b224-ebad31c45501,"6.414418723341941,45.17971000617571","6.419176825561477,45.17154140685323",Sentier,,Herbe + terre,1119.17,"0,8 m",,,Bon
a7590f34-117f-456e-9434-03669125908a,"6.415165282044392,45.188593021676084","6.414028835298516,45.17993619348474",Sentier,,Herbe + terre,1453.19,"0,4 m",,,Assez bon
5998686d-d383-4be2-84e3-85b71b05f389,"6.414419765475185,45.179711300144305","6.414028835298516,45.17993619348474",Sentier,,,39.93,0,,,
84c5867c-e95c-48e7-93d0-995c1853ddbe,"6.429567385943969,45.185269547781914","6.427797603089412,45.18127638600727",Chemin,,Cailloux + terre,655.83,"2,00 m",,,Bon
d53667f6-6f2f-4000-9627-93e7ddec68f7,"6.429163831984699,45.18849166826304","6.428257700868608,45.192915213457404",Chemin,,Cailloux + gravier,537.55,"2,00 m",,,Bon
015179ad-5e58-4f03-bc1f-b00a357fd867,"6.429567385943969,45.185269547781914","6.429163831984699,45.18849166826304",Chemin,,Cailloux + gravier,374.9,"2,00 m",,,Bon
cad6573d-8b3d-4d80-896a-e96cf0dc47a5,"6.427746574690975,45.18088497787909","6.427241837576148,45.174600800243645",Sentier,,Cailloux + terre,747.55,"0,8 m",,,Bon
dabb7895-54da-4f08-9746-f6e40db1fece,"6.409215946085569,45.166950584707905","6.413430698818812,45.164400152039725",Sentier,,Herbe + terre,1646.63,"0,4 m",,,Bon
69a2659d-32f0-4841-9e9e-2fca3df75cb5,"6.408547069247867,45.1610420214825","6.409211715520161,45.16116450136333",Sentier,,,85.95,0,,,
c7df1e92-83eb-47b2-9843-66de4c9ecbbf,"6.416661343254443,45.16195959468761","6.418316272210729,45.16181296170398",Sentier,,Cailloux + terre,132.3,"0,8 m",,,Bon
0f8012f4-d529-4635-9809-ae78686eba50,"6.412314584990246,45.16144396602726","6.413018375923397,45.16165823277033",Sentier,,Cailloux + terre,205.18,"0,8 m",,,Bon
f78f5369-7255-4124-8f0b-75a5d2222ca4,"6.413654312686745,45.1617257469472","6.414228697559275,45.16219194844592",Sentier,,Cailloux + terre,168.97,"0,8 m",,,Bon
c0c70d03-8c9b-4a18-960f-2a3ec4825d0d,"6.428176215727026,45.161046445690836","6.424393312441802,45.157515935018296",Chemin,,Cailloux + terre,502.55,"3,5 m",,,Bon
12b280cc-82aa-432e-8909-e2a00de1fbdd,"6.424393312441802,45.157515935018296","6.425291737355158,45.15777892393795",Chemin,,Gravier,77.61,"3,5 m",,,Bon
42766155-2e2b-4154-8c75-0aeccb6b2456,"6.424006315367038,45.15716483726946","6.424393312441802,45.157515935018296",Chemin,,Gravier,53.02,"3,5 m",,,Bon
968cd658-56b6-40f0-87c1-af288fff56a9,"6.425291737355158,45.15777892393795","6.429338163733305,45.1582135674797",Chemin,,Gravier,443.06,"3,5 m",,,Bon
b9a6e2fd-2d51-45f9-a056-18bbd0726427,"6.429373241081642,45.16285083798886","6.429048269815734,45.16267791665405",Route,,Goudron,32.75,4,,,Bon
3c2655eb-aba6-4e7c-920a-43cc9c7bf88f,"6.422761714210251,45.155551802425755","6.424006315367038,45.15716483726946",Chemin,,Gravier,221.73,"3,5 m",,,Bon
304169ad-73f7-4616-81a2-a6c9e3147fc9,"6.404559786066038,45.16789220286415","6.407747790142764,45.16725629494394",Sentier,,Cailloux + herbe,267,"1,2 m",,,Assez bon
f65824a7-5e61-4020-b160-69ecdc5eb21f,"6.392582166713257,45.16880152522487","6.404559786066038,45.16789220286415",Sentier,,Cailloux + herbe,990.69,"0,4 m",,,Assez bon
c7425df4-88ca-4b48-9529-74512b67b3b6,"6.422412797263939,45.16174685870022","6.422465528794536,45.161238590447866",Chemin,,Terre,57.73,"2,00 m",,,Bon
eb14bc1b-c97b-4bf2-a8a7-1149ae6c949d,"6.396926695469345,45.15914473745262","6.395280345487743,45.15991641664293",Sentier,,Cailloux + terre,158.96,"0,4 m",,,Bon
12d5255c-1712-41b9-8efc-6c712e00cb5b,"6.383535625664816,45.17041940156453","6.38648998653158,45.169328162476376",Sentier,,,442.34,0,,,
50eecc2f-4dca-4871-bc64-a9a08d7b7f73,"6.403651462281307,45.16025818855967","6.396926695469345,45.15914473745262",Sentier,,Herbe + terre,560.1,"0,4 m",,,Assez bon
36175f27-2122-4b31-b05d-9fe4ce050512,"6.408547647087984,45.161042096653404","6.403651462281307,45.16025818855967",Sentier,,Cailloux + terre,416.12,"0,8 m",,,Bon
838aff5e-1fc4-478c-857b-88c7e1e547ba,"6.400893448430125,45.16313347113845","6.388816207763583,45.16802612166821",Sentier,,Cailloux + terre,1482.02,"0,8 m",,,Assez bon
8bdb8f4b-c4d4-4dc9-94cf-553867d81b17,"6.429372342705219,45.16230872157363","6.428176215727026,45.161046445690836",Sentier,,Herbe,175.78,"2,00 m",,,Bon
83dd09d1-d223-4ad5-8bb8-086e57cebc6e,"6.392582166713257,45.16880152522487","6.386795693830929,45.16958463935104",Sentier,,Cailloux + herbe,508,"0,4 m",,,Mauvais
fbfc9843-8e57-463b-9a48-27c4dbaec60b,"6.404559786066038,45.16789220286415","6.388810795519465,45.16802538483654",Sentier,,Herbe + terre,1320.19,"0,4 m",,,Bon
ed001556-e841-4c0d-b60f-b2b1a463056f,"6.429048269815734,45.16267791665405","6.428930561447268,45.16254280757203",Route,,Goudron,17.64,3,,,Bon
9078988a-b2a9-4e61-b909-5ce2ae16fdb7,"6.429964386327628,45.16323449686194","6.429986770293086,45.16422900301333",Route,,Goudron,111.65,"3,5 m",,,Bon
31e3342d-47e5-435e-b7f5-bd7aa678ad60,"6.430131198888982,45.16308891462848","6.429964386327628,45.16323449686194",Route,,Goudron,21.56,4,,,Bon
a12755c6-1a01-4dd6-bc04-2db5ac7c4c49,"6.429964386327628,45.16323449686194","6.429373241081642,45.16285083798886",Route,,Goudron,63.63,3,,,Bon
0fcbbe4c-9a27-4386-8b4c-42081e8b96d3,"6.416661343254443,45.16195959468761","6.414228697559275,45.16219194844592",Sentier,,Cailloux + terre,498.15,"0,8 m",,,Bon
290efd2d-30ab-4a68-8539-bbabc6ac025a,"6.39528030503175,45.15991640075076","6.395369369158655,45.160395024390205",Sentier,,Cailloux + terre,192.56,"0,4 m",,,Assez bon
6d2f8f25-4ce3-4d11-8848-c80700f47f60,"6.38648998653158,45.169328162476376","6.386795693830929,45.16958463935104",Sentier,,,46.62,0,,,
76539c63-8c95-4b73-90e2-b7d0743515c6,"6.418316272210729,45.16181296170398","6.416783488462886,45.16288171917979",Sentier,,Cailloux + terre,195.8,"0,8 m",,,Bon
050a3e5d-35b4-476d-b2f7-d7e361a745a8,"6.395369536500031,45.160395367176584","6.400895044181344,45.1631261647383",Sentier,,Herbe,562.63,"0,4 m",,,Assez bon
903a095f-e301-43a8-b2cc-881e5c19ae96,"6.413654312686745,45.1617257469472","6.413323939163565,45.1612107103159",Sentier,,Cailloux + terre,128.32,"0,8 m",,,Bon
d1041310-4899-4ab8-9464-43bd08b51748,"6.409211923766732,45.16116451122093","6.412314584990246,45.16144396602726",Sentier,,Cailloux + terre,649.77,"0,4 m",,,Bon
59aa90c7-508d-4051-ad05-4153add6ac74,"6.431065776067912,45.16691508862173","6.430955393793546,45.16690044215524",Route,,Goudron,8.83,4,,,Bon
071f53bb-4fef-498f-a33f-3d24b3002229,"6.430581801745378,45.16317154270561","6.430700030518756,45.16316883840497",Route,,Goudron,2021-03-09 00:00:00,4,,,Bon
1f7c1050-144a-4212-aa6e-2a777ad2ba17,"6.43054537255246,45.16681567613288","6.430380003602475,45.16600295016395",Route,,Goudron,92.64,4,,,Bon
7bb6a895-d7ce-430f-acd8-79d712f42590,"6.430581801745378,45.16317154270561","6.430131198888982,45.16308891462848",Route,,Goudron,38.69,4,,,Bon
8ad75093-b484-45af-a992-9669e300e218,"6.429338164091165,45.158212681529385","6.433076896314577,45.15801231551903",Chemin,,Gravier,304.13,0,,,
641fe1ab-6ff3-47e7-bd6c-fb67d226f986,"6.433507508271027,45.15987699035974","6.43658660042213,45.16149956051111",Sentier,,,574.75,"0,8 m",,,Bon
9efb483a-2dca-4ac6-835d-4281392e712f,"6.439198908286661,45.16035429607284","6.43658660042213,45.16149956051111",Sentier,,Cailloux + terre,345.78,"0,8 m",,,Assez bon
2757bcb0-f49b-492d-a5d1-d2b9b9841686,"6.436586600422127,45.16149956051109","6.435541873588681,45.16143122178193",Sentier,,Cailloux + terre,118.14,"0,8 m",,,Bon
3ff392d8-fd44-41f5-bab7-d35c43e40522,"6.435541873588681,45.16143122178193","6.430845162913382,45.163168916049884",Sentier,,Herbe + terre,469.69,"0,8 m",,,Bon
464a407c-3f6f-4eac-97bc-fa5435f2596a,"6.431271071726589,45.16704572285336","6.431065776067912,45.16691508862173",Route,,Goudron,22.89,4,,,Bon
7b087065-fb33-403f-9db4-73589531d11f,"6.430955393793546,45.16690044215524","6.43054537255246,45.16681567613288",Route,,Goudron,34.03,4,,,Bon
7e22a74f-5731-4d3c-b50f-62416f366e53,"6.429986770293086,45.16422900301333","6.430016288967472,45.165006240782226",Route,,Goudron,86.54,"3,5 m",,,Bon
6f88b26d-e0a0-46a0-ae12-dfa895ae7ade,"6.430016288967472,45.165006240782226","6.429998633981348,45.165468798761935",Route,,Goudron,51.43,"3,5 m",,,Bon
9387cdda-9972-4b6f-b5aa-c899f4a5d61d,"6.430845162913382,45.163168916049884","6.430700030518756,45.16316883840497",Route,,Goudron,11.41,4,,,Bon
cb6c95a7-1e3d-4b35-97bf-8242e2c20785,"6.445627925099188,45.15307863443889","6.445152522576336,45.15400463175673",Chemin,,Cailloux + terre,112.75,"2,00 m",,,Bon
21100a3c-1b43-4205-a737-ad112d66b9fd,"6.439926968256732,45.159748431512085","6.439198908286661,45.16035429607284",Sentier,,Cailloux + terre,95.94,"0,8 m",,,Bon
68861eec-e7f8-444d-814b-2eaf78b4f20b,"6.441621435206716,45.157559208994606","6.439926968256732,45.159748431512085",Sentier,,Cailloux + terre,414.36,"0,8 m",,,Bon
901ff3aa-b354-4f12-a5f6-81974b411c36,"6.443311226537213,45.16074043062105","6.447699620816981,45.15573236561827",Sentier,,Herbe + terre,669.52,"0,4 m",,,Bon
e18b6c0b-53b6-44cc-8727-21667c3c990c,"6.445152522576336,45.15400463175673","6.44252802198879,45.15701637895141",Sentier,,Cailloux + terre,403.48,"1,2 m",,,Bon
b63433a4-1b4f-4a28-8490-b1b9bce1d261,"6.442195428025811,45.16065721455906","6.443311226537213,45.16074043062105",Sentier,,Herbe + terre,109.51,"0,4 m",,,Bon
ffa4498c-d057-4c8d-b7c2-c9fcba479676,"6.46086795071594,45.15350934402494","6.459698088453848,45.152336072101335",Chemin,,Cailloux + terre,230.57,"3,5 m",,,Bon
da465cdc-1aea-4fa0-8532-fd5c5731c31b,"6.447699620816981,45.15573236561827","6.458454979343308,45.149961952957035",Sentier,,Cailloux + terre,1256.55,,,,Assez bon
3b4f61bc-48fd-4747-99e5-c9250051c378,"6.464979939938902,45.15493666664171","6.460878679679887,45.15351312720497",Inexistant,,Herbe + terre,488.22,0,,,Bon
7bfc7c0d-958e-44ad-9660-47cc1cac3c7d,"6.458589089220044,45.15017192466892","6.459698088453848,45.152336072101335",Chemin,,Cailloux + terre,271.55,"3,5 m",,,Bon
b85da2e8-046c-4af5-8cc0-fef3d37d1a72,"6.449022550174123,45.14829762896429","6.448925905021901,45.14850683636303",Chemin,,Cailloux + terre,24.48,"3,5 m",,,Bon
857dfa86-19f5-43e1-8fb7-868edc2608a7,"6.448925905021901,45.14850683636303","6.44764220188999,45.15015741779276",Chemin,,Cailloux + terre,217.08,"3,5 m",,,Bon
77d7d2ae-9692-46cd-89c0-2efeb074225b,"6.446117381519579,45.15242419415307","6.445627925099188,45.15307863443889",Sentier,,Cailloux + terre,83.9,"0,4 m",,,Assez bon
320a826e-6a8e-457f-893d-0f5eee85f966,"6.433857891648135,45.14958925840204","6.434287978009297,45.14688695053443",Chemin,,Cailloux + gravier,305.75,"3,5 m",,,Bon
40c63574-78be-46db-86fa-158f7fd615c7,"6.434288046880344,45.14688705566343","6.438674195639895,45.145027261036084",Chemin,,Cailloux + gravier,459.29,"3,5 m",,,
e2333513-3303-4f3c-ac30-0d598ce557da,"6.434801223706468,45.15065741872961","6.433871782049914,45.15040123568765",Chemin,,Cailloux + terre,78.62,"3,5 m",,,Bon
5ce0ebd4-0c6b-4520-8eea-4bf2e6f02b2c,"6.422761714210251,45.155551802425755","6.422869358846498,45.1541813868971",Chemin,,Terre,154.32,"2,00 m",,,Bon
1a4b869e-8dae-4ab4-8aef-ade627c00d59,"6.420573914056233,45.147424523867706","6.420563063583588,45.14676380037768",Chemin,,Terre,73.53,"2,00 m",,,Bon
95e251d7-eda1-4bb0-960c-3f7a87e378fe,"6.420642798872342,45.146400228385744","6.421802402734321,45.147849176498525",Chemin,,Cailloux + terre,199.94,"3,5 m",,,Bon
f5e11ca7-fc50-4de1-b2c8-066a052f0344,"6.420563063583588,45.14676380037768","6.420642798872342,45.146400228385744",Chemin,,Gravier,40.95,"3,5 m",,,Bon
5d5184b4-6bd1-43a2-90e6-6af2f6a1220f,"6.442585255717463,45.14234443697297","6.439871938650938,45.13829626963305",Chemin,,Cailloux + gravier,1170.14,"3,5 m",,,
1f8235d2-f7e4-4d6e-8491-662750b1dd39,"6.442585255717463,45.14234443697297","6.438674195639895,45.145027261036084",Chemin,,Cailloux + gravier,476.61,"3,5 m",,,
d826c53f-5351-4f0c-9d52-5142c2165434,"6.433872007061566,45.15040120803018","6.433857891648135,45.14958925840204",Chemin,,Cailloux + gravier,94.84,"3,5 m",,,Bon
89abf9dd-9689-486a-ac87-81308fc15438,"6.416755175813305,45.14821064192361","6.416674516744136,45.14830765639312",Route,,Goudron,13.17,"3,5 m",,,Bon
13e45827-ad3e-4341-85d0-e7f4c4ae45a0,"6.42956041232096,45.14869995850207","6.428385750680515,45.14943284677507",Chemin,,,146.83,0,,,
9f3befa8-d3a9-4ed9-bc0e-c824aff2922d,"6.432417571808128,45.15055349972987","6.430551006105508,45.15084382865597",Chemin,,Herbe + terre,315.68,"3,5 m",,,Bon
2e539fe6-0438-46a3-9cbb-f5b0989db43a,"6.428385750680515,45.14943284677507","6.427621104836398,45.14774316855124",Chemin,,Herbe + terre,205.82,"3,5 m",,,Mauvais
855baa0f-9c5c-4492-9834-935d6688cd84,"6.421987816444006,45.150817377744396","6.420573914056233,45.147424523867706",Chemin,,Cailloux + herbe,506.65,"3,5 m",,,Bon
707a330f-2346-4c70-97a7-d7eec9fe91e6,"6.422869358846498,45.1541813868971","6.42221425793046,45.15108787897964",Chemin,,Cailloux + terre,391.03,"2,00 m",,,Bon
54463e9c-aada-4a00-b021-3661212699ff,"6.420642798872342,45.146400228385744","6.420743366458675,45.14625397202623",Chemin,,Gravier,2021-08-18 00:00:00,"3,5 m",,,Bon
c5dcdaa1-a00b-4cfc-9ce0-bc43918e190a,"6.411492038737195,45.14204749009081","6.414400366353179,45.14784144792506",Sentier,,Cailloux + terre,884.3,"0,4 m",,,Assez bon
cfa2bb69-b39f-498d-bdb5-29b65ae7e983,"6.415424387267485,45.148113262496764","6.415527520428784,45.14857574903157",Sentier,,Cailloux + terre,128.7,"0,8 m",,,Bon
860df169-e8d1-43eb-8859-f5084906d219,"6.434801223706468,45.15065741872961","6.432417571808128,45.15055349972987",Chemin,,Herbe + terre,189.12,"3,5 m",,,Bon
9e5a7ccb-9070-49d7-96a8-743920f3d7aa,"6.426429512084789,45.14788394456678","6.424912832841062,45.14835072333393",Inexistant,,,141.09,0,,,
e97ef866-957b-4c51-aa76-0c544d8a7538,"6.424912832841062,45.14835072333393","6.421802402734321,45.147849176498525",Inexistant,,,260.86,0,,,
5f000e39-370c-41f9-a750-6f90516d27ba,"6.419718836268477,45.14627431758549","6.418299462183928,45.146226498711535",Route,,Goudron,130.58,"3,5 m",,,Bon
b308e19e-a8a3-41c8-87b7-b87f3da88065,"6.418299462183928,45.146226498711535","6.417088504358304,45.1480618221955",Route,,Goudron,229.05,"3,5 m",,,Bon
4e8ef9b2-43f5-461c-8083-aac9637c886b,"6.416674516744136,45.14830765639312","6.416846327786502,45.14855993125918",Route,,Goudron,31.38,4,,,Bon
6c3c969e-c1ac-430a-a669-b41f9d24fc71,"6.42019366693367,45.14640217745611","6.419718836268477,45.14627431758549",Route,,Goudron,40.08,"3,5 m",,,Bon
5df121ab-6422-42f9-9aa1-2f10abd91a22,"6.42221425793046,45.15108787897964","6.421987816444006,45.150817377744396",Chemin,,Cailloux + terre,35.89,"2,00 m",,,Bon
7e3b5706-4e9b-4b9e-8411-c9ee1982b15a,"6.416795983996166,45.148149060851814","6.416755175813305,45.14821064192361",Route,,Goudron,7.56,4,,,Bon
f6a53155-e11b-451e-abf8-291dcf7db63f,"6.417088504358304,45.1480618221955","6.416795983996166,45.148149060851814",Route,,Goudron,26.67,4,,,Bon
f189848e-b65c-4462-9286-950b6149f2ab,"6.427621104836398,45.14774316855124","6.426429512084789,45.14788394456678",Inexistant,,,196.38,0,,,
95a1020f-01dc-4d38-84ad-d5a397e88867,"6.419821873091715,45.136882256269104","6.419499578571702,45.13691817412211",Route,,Goudron,25.73,3,,,Bon
272797f3-431d-4221-8ecd-9f54ce07f2d9,"6.419277060758926,45.136962765428244","6.419380398940233,45.136484999123034",Route,,Goudron,59.6,3,,,Bon
f4d9b1c4-2293-4f0f-b6c3-d17445318711,"6.420506838018905,45.142128232692336","6.420641125762581,45.140839869294695",Chemin,,Cailloux + terre,146.67,"3,5 m",,,Bon
328ec9bf-4b82-464e-97c1-dcd2c256e510,"6.419499578571702,45.13691817412211","6.419277060758926,45.136962765428244",Route,,Goudron,18.22,3,,,Bon
c6350f91-2d8d-4556-ad24-0004fec88c97,"6.420641125762581,45.140839869294695","6.419821873091715,45.136882256269104",Chemin,,Cailloux + terre,460.43,"3,5 m",,,Bon
aa208399-e186-41b4-9766-e78d35ee07d8,"6.420743366458675,45.14625397202623","6.420506838018905,45.142128232692336",Chemin,,Terre,465.62,"3,5 m",,,Bon
5bc5489d-525c-49a7-bc40-cce11fc814ef,"6.440507869711208,45.13846293347361","6.441069752814435,45.13568024402305",Inexistant,,,334.85,0,,,
eda6d870-402c-4e48-9396-5269bd6f31c9,"6.441069752814435,45.13568024402305","6.44182600913816,45.13220101010514",Inexistant,,,409.96,0,,,
2de1a897-24f0-4366-a896-6694d6184b9c,"6.407190063141691,45.138919178312506","6.411492038737195,45.14204749009081",Chemin,,Cailloux + herbe,1058.56,"2,00 m",,,Bon
3ee3bf1c-0388-475d-838d-a458c037ff8e,"6.40676752756455,45.13462526213617","6.40635821522095,45.13694682401676",Chemin,,Cailloux + herbe,263.17,0,,,Bon
15d72c27-f7e7-4a1c-991a-f6f1b9e44bac,"6.407190063141691,45.138919178312506","6.405865628044426,45.13766971446328",Sentier,,Cailloux + terre,298.21,"0,4 m",,,Assez bon
c586a10d-20b4-4a79-8887-e1a9c3edc88c,"6.418510956686382,45.193770895442704","6.417006802719968,45.193329880782656",Sentier,,Herbe + terre,151.52,"0,8 m",,,Bon
f0897b44-5a6c-413b-8c92-e49ae88be135,"6.427065749925431,45.195199463257545","6.428257700868608,45.192915213457404",Chemin,,Cailloux + terre,278.63,"2,00 m",,,
fc0ecaf7-a414-40ce-86d1-9a4969131199,"6.415165282044392,45.188593021676084","6.4158106780862,45.19074933154539",Sentier,,Herbe,246.68,"0,4 m",,,Assez bon
9f341c4c-bb20-4dc4-b4d9-03fc11cea08e,"6.4158106780862,45.19074933154539","6.411058808498006,45.19331607608733",Sentier,,,502.98,0,,,
f6139907-9220-4aff-bcc2-d8752c67814c,"6.427065749925431,45.195199463257545","6.426620190300474,45.197693342800925",Route,,Goudron,316.8,4,,,Bon
31b32408-07e2-4192-a79d-a93ede5c7750,"6.425020876166005,45.19751505193641","6.427065749925431,45.195199463257545",Route,,Goudron,401.89,4,,,Bon
feb06d7a-dc8c-4de0-a414-e063a2d5c7f5,"6.42028184680859,45.198619183987624","6.425020876166005,45.19751505193641",Route,,Goudron,426.25,4,,,Bon
f69fa59d-45a8-454d-a8aa-6d85430e1afb,"6.4158106780862,45.19074933154539","6.417006802719968,45.193329880782656",Sentier,,Herbe + terre,480.09,"0,8 m",,,Bon
b22a10c7-e987-4580-b95f-3226dfdab2e2,"6.418840545270931,45.19395452152167","6.418510956686382,45.193770895442704",Sentier,,Herbe + terre,33.28,"0,8 m",,,Bon
24a891c0-a313-4a97-a2c9-98c14d6f0a5b,"6.426855368708115,45.19812478824546","6.426881218837456,45.198068162844834",Sentier,,,6.64,0,,,
cf5765fd-a6c9-42ee-ace6-8f1f70f91bea,"6.426855368708115,45.19812478824546","6.435055977698137,45.20404670226408",Sentier,,Cailloux + terre,1909.95,"0,8 m",,,Assez bon
5033fecf-5c66-44d0-ba44-d05a41420b6e,"6.426881218837456,45.198068162844834","6.426620190300474,45.197693342800925",Sentier,,Herbe + terre,117.61,"1,2 m",,,Bon
5b7d6a4e-09c1-4931-9a8d-d8f85887f190,"6.425169958203266,45.1975576493158","6.421885193613731,45.196265774176915",Sentier,,Herbe + terre,556.22,"0,8 m",,,Bon
0f18c8d3-9063-4986-91dd-fa53497fc60b,"6.421885193613731,45.196265774176915","6.418840545270931,45.19395452152167",Sentier,,Herbe + terre,623.46,"0,8 m",,,Bon
d5d6abb7-5ffa-439c-a28f-cd53fe830899,"6.426581789974239,45.198025040826906","6.426453294410497,45.19815323703991",Sentier,,,17.46,0,,,
8ead9286-beab-426a-bf64-dfc19ec95607,"6.42028184680859,45.198619183987624","6.426057042509034,45.19815178726662",Sentier,,,497.29,0,,,
3a07a113-3c4c-4be3-aa3c-be02d2172a09,"6.426057042509034,45.19815178726662","6.426453294410497,45.19815323703991",Sentier,,,31.87,0,,,
a47223a8-1d36-49e1-96af-9a7a4fdcf37b,"6.426881218837456,45.198068162844834","6.426581789974239,45.198025040826906",Sentier,,,2021-01-24 00:00:00,0,,,
613e8f59-c0a2-40d1-bb22-aba837b512db,"6.414453524363171,45.19386611245556","6.418510956686382,45.193770895442704",Sentier,,,330.78,0,,,
d460a23c-c405-4d63-815b-13b035098480,"6.438941684102157,45.20569350602173","6.439077932852743,45.20095836417789",Chemin,,Cailloux + terre,541.07,"3,5 m",,,Assez bon
c88fe1cb-8768-4ccd-aa93-a5e7c4dfeb20,"6.438015059924277,45.19848398590731","6.438307748000205,45.18877172495691",Sentier,,Herbe + terre,1473.11,"0,4 m",,,Assez bon
301f0342-d7f2-4768-abc0-e319564ac4cf,"6.438605965943219,45.20046712161425","6.438009179760915,45.19848001937214",Sentier,,Herbe + terre,240.46,"0,4 m",,,Assez bon
1d6efa97-f627-4597-8443-3216343888dc,"6.435055977698137,45.20404670226408","6.438605965943219,45.20046712161425",Sentier,,Cailloux + terre,1783.25,"0,4 m",,,Assez bon
7d69a75f-4b38-4a3b-92d3-98c2a527f3b3,"6.472312046480011,45.220182108831466","6.471989141815346,45.22021548017696",Route,,Goudron,25.64,4,,,Bon
5c0f964b-6045-4706-bc52-4bb7481facf9,"6.470824065466983,45.22134657659639","6.468855528038035,45.22825573340571",Sentier,,Herbe + terre,884.59,"1,2 m",,,Bon
9651086a-cca6-427b-a115-a1fec3ef6ea5,"6.472312046480011,45.220182108831466","6.471989141815346,45.22021548017696",Route,,Goudron,25.64,4,,,Bon
64a36b2c-7557-4b83-86cc-40f4b0f3f500,"6.471989141815346,45.22021548017696","6.472250959583276,45.2200182730584",Sentier,,Herbe,30.35,"1,2 m",,,Bon
39cb98ae-bc08-45eb-87cd-def75c8ceaea,"6.459997775000216,45.232716018900305","6.459527883886211,45.232619797098955",Route,,Goudron,38.66,4,,,Bon
02c1b05e-6bde-4527-a96e-bda70a4c570d,"6.467509508648752,45.229763427154055","6.468855528038035,45.22825573340571",Sentier,,Herbe + terre,205.87,"1,2 m",,,Bon
beb97426-b9bb-4fb9-98bd-db7b68667bf5,"6.459997775000216,45.232716018900305","6.461024861621002,45.23200731063985",Sentier,,Herbe + terre,122.34,"1,2 m",,,Bon
c357b2b8-455c-4ea0-baa8-5c5a3df76623,"6.457456909728089,45.23529121027206","6.454368865322234,45.23827651372018",Sentier,,Cailloux + terre,495.06,"1,2 m",,,Bon
dcb39fe1-797b-461b-9320-45a115389184,"6.459527883886211,45.232619797098955","6.459682602398172,45.23308906632677",Route,,Goudron,62.13,3.5,,,Bon
188349d5-ac90-4203-8f62-53725650e675,"6.465225220525884,45.230256121616335","6.466828741261405,45.23089847918496",Route,,Goudron,158.04,4,,,Bon
bff68101-8b90-41a1-9c4b-acc3ef62410a,"6.467509508648752,45.229763427154055","6.466828741261405,45.23089847918496",Route,,Goudron,143.87,4,,,Bon
c43409f6-ccfd-4956-aeed-7fedff646161,"6.457456909728089,45.23529121027206","6.460137250549259,45.23372845404342",Sentier,,Herbe + terre,332.52,"1,2 m",,,Bon
cb42c1eb-c573-4ea7-9126-25ecd6f4d7bf,"6.461024861621002,45.23200731063985","6.461711302258128,45.23150077270356",Route,,Goudron,136.62,4,,,Bon
f86d506a-79f3-4ebc-a6aa-3bd818c9134f,"6.463345465610871,45.231047054816386","6.465225220525884,45.230256121616335",Route,,Goudron,221.77,4,,,Bon
2b0cb739-940c-4f7b-a846-fb17b432db61,"6.46258845758517,45.23129728819269","6.463345465610871,45.231047054816386",Sentier,,Herbe + terre,201.63,"0,8 m",,,Bon
887538d0-f2e4-4c3a-afbb-8fd20cd1d44a,"6.461711302258128,45.23150077270356","6.46258845758517,45.23129728819269",Sentier,,Herbe + terre,84.07,"0,8 m",,,Bon
a5436e36-0d1b-40c9-b272-189705e57f11,"6.445719116872916,45.239870728048494","6.445751896620174,45.23996879508945",Route,,Goudron,2021-02-11 00:00:00,4,,,Bon
ff9e288c-daf3-4167-81de-e946ff657a13,"6.445191514436323,45.24006068497043","6.445083287203709,45.24012523747389",Route,,Goudron,11.22,4,,,Bon
11ee2fbc-5374-4c50-9d3b-78a387eba304,"6.438070145743404,45.2447031141816","6.429189620729127,45.24889019570291",Sentier,,Cailloux + terre,980.26,"1,2 m",,,Bon
